가계부, Catatan keuangan rumah tangga
서서히, perlahan-lahan
서운하다, kecewa
서투르다, canggung
석사, gelar magister
석식, makan malam
석유, minyak bumi
석탄, batu bara
섞다, mencampur
선, garis
선글라스, kacamata hitam
선선하다, sejuk
선진국, negara maju
선착순, urutan kedatangan
설, teori
설득, bujukan
설마, masa sih
설명서, buku petunjuk
설문조사, survei
설문지, kuesioner
설사, mencret
섭섭하다, kecewa
성공, keberhasilan
성능, kinerja
성당, gereja Katolik
성명, pernyataan
성별, jenis kelamin
성실, rajin
성인, orang dewasa
성인병, penyakit orang dewasa
성적, nilai
성적표, rapor
성형, operasi plastik
세계적, berskala dunia
세금, pajak
세기, abad
세다, menghitung
세대, generasi
세련, berkelas
세면대, wastafel
세면도구, perlengkapan mandi
세미나, seminar
세배, tiga kali lipat
세뱃돈, uang tahun baru
세상, dunia
세월, waktu
세제, deterjen
세탁물, cucian
셔츠, kemeja
셔틀버스, bus antar-jemput
소감, kesan
소개팅, kencan buta
소규모, skala kecil
소극장, teater kecil
소극적, pasif
소나기, hujan deras singkat
소년, anak laki-laki
소득, pendapatan
소망, harapan
소매, lengan baju
소매치기, pencopetan
소문, rumor
소방관, petugas pemadam kebakaran
소방서, kantor pemadam kebakaran
소방차, mobil pemadam
소비, konsumsi
소비자, konsumen
소설책, novel
소수, minoritas
소스, saus
소심하다, penakut
소용, kegunaan
소용없다, tidak berguna
소원, permohonan
소음, kebisingan
소주, soju
소중하다, berharga
소중히, dengan hati-hati
소화, pencernaan
속다, tertipu
속담, peribahasa
속도, kecepatan
속도위반, pelanggaran kecepatan
속력, laju
속상하다, sedih
속옷, pakaian dalam
속이다, menipu
손바닥, telapak tangan
손발, tangan dan kaki
손쉽다, mudah
손자, cucu laki-laki
손잡이, pegangan
손질, merapikan
솔직하다, jujur
솔직히, dengan jujur
솜씨, keterampilan
송금, pengiriman uang
쇠, besi
쇠고기, daging sapi
쇼, pertunjukan
쇼핑몰, pusat perbelanjaan
쇼핑백, tas belanja
쇼핑센터, pusat belanja
수거, pengambilan
수고, jerih payah
수단, cara
수도꼭지, keran air
수량, jumlah
수료식, upacara kelulusan
수리, perbaikan
수리비, biaya perbaikan
수면, tidur
수면제, obat tidur
수명, umur
수산물, hasil laut
수상, perdana menteri
수선, perbaikan pakaian
수선하다, memperbaiki pakaian
수수료, biaya administrasi
수입, impor
수정, revisi
수준, tingkat
수집, koleksi
수출, ekspor
수표, cek
수학여행, karyawisata
숙녀복, pakaian wanita
숙박, penginapan
숙박비, biaya penginapan
숙소, akomodasi
숙이다, menunduk
순간, momen
순두부찌개, sup tahu sutra
술자리, tempat minum
술잔, gelas
술집, bar
숨기다, menyembunyikan
숨다, bersembunyi
숫자, angka
숲, hutan
스님, biksu
스스로, sendiri
스캐너, pemindai
스타일, gaya
스티커, stiker
스프, sup
스피커, pengeras suara
슬리퍼, sandal
슬픔, kesedihan
습기, kelembapan
습도, tingkat kelembapan
승강기, lift
승객, penumpang
승리, kemenangan
승용차, mobil penumpang
승진, promosi
승차, naik kendaraan
시각, penglihatan
시대, zaman
시도, percobaan
시력, penglihatan
시부모님, orang tua mertua
시아버지, ayah mertua
시어머니, ibu mertua
시인, penyair
시집, kumpulan puisi
시집가다, menikah (perempuan)
시청각실, ruang multimedia
시청자, penonton
시합, pertandingan
시험공부, belajar untuk ujian
식, metode
식구, anggota keluarga
식료품, bahan makanan
식물, tumbuhan
식물원, kebun raya
식비, biaya makan
식생활, pola makan
식습관, kebiasaan makan
식욕, nafsu makan
식용유, minyak goreng
식초, cuka
식품, makanan
식후, setelah makan
신고, laporan
신기다, memakaikan (sepatu)
신기술, teknologi baru
신기하다, menakjubkan
신나다, senang
신도시, kota baru
신랑, mempelai pria
신랑감, calon mempelai pria
신문사, perusahaan surat kabar
신문지, koran
신부, mempelai wanita
신분증, kartu identitas
신상품, barang baru
신선하다, segar
신세대, generasi baru
신용, kredit
신입생, mahasiswa baru
신제품, produk baru
신청자, pemohon
신체, tubuh
신형, model baru
신호, sinyal
신혼, baru menikah
신혼부부, pasangan pengantin baru
신혼여행, bulan madu
싣다, memuat
실, benang
실내, dalam ruangan
실력, kemampuan
실망, kekecewaan
실시, pelaksanaan
실용적, praktis
실은, sebenarnya
실제, sebenarnya
실제, nyata
실종, hilang
실종자, orang hilang
실천, praktik
실컷, sepuasnya
실크, sutra
실패, kegagalan
실험, percobaan
실험실, laboratorium
싫증, bosan
심각하다, serius
심다, menanam
심리학, psikologi
심리학자, psikolog
심부름, tugas
심심하다, bosan
심장, jantung
심장병, penyakit jantung
싱싱하다, segar
싱크대, wastafel
안개, kabut
안과, oftalmologi
싸구려, murah
싸움, perkelahian
쌀쌀하다, dingin
쌍둥이, kembar
안되다, gagal
안방, kamar utama
안부, kabar
안색, warna wajah
안심, lega
안약, obat tetes mata
안주, makanan pendamping minum
안쪽, bagian dalam
안타깝다, disayangkan
앉히다, menempatkan duduk
알, telur
알레르기, alergi
알아듣다, mengerti
알아보다, mengenali
알아주다, menghargai
알약, pil
알코올, alkohol
암, kanker
앞날, masa depan
앞두다, menghadapi
앞뒤, depan dan belakang
앞머리, poni
애기, bayi
애완견, anjing peliharaan
애완동물, hewan peliharaan
애인, kekasih
애정, kasih sayang
애프터서비스, layanan purna jual
액자, bingkai foto
앨범, album
야간, malam hari
야경, pemandangan malam
야근, lembur
야단맞다, dimarahi
야단치다, menegur
야외, di luar ruangan
야유회, piknik
약하다, lemah
약혼, pertunangan
약혼자, tunangan
얌전하다, sopan
양로원, panti jompo
양반, bangsawan
양보, mengalah
양쪽, kedua sisi
얘, orang ini
어기다, melanggar
어느새, tanpa disadari
어떠하다, bagaimana
어떡하다, bagaimana
어려움, kesulitan
어린아이, anak kecil
어린이날, Hari Anak
어버이날, Hari Orang Tua
어색하다, canggung
어쨌든, bagaimanapun
어쩌다가, kebetulan
어쩌면, mungkin
어쩐지, entah mengapa
어차피, bagaimanapun
어학, bahasa
어학연수, kursus bahasa
어휘, kosakata
억, milyar
억양, intonasi
억지로, paksa
언론, media massa
언론인, jurnalis
언어, bahasa
언젠가, suatu saat
얻다, memperoleh
얻어먹다, diberi makan
얼다, membeku
얼룩, noda
얼른, cepat
엄격하다, tegas
엄청나다, luar biasa
업무, pekerjaan
없애다, menghapus
엉덩이, pantat
엉뚱하다, aneh
엉망, berantakan
엊그제, beberapa hari yang lalu
에너지, energi
에이즈, AIDS
엔진, mesin
엠티, latihan keanggotaan
여가, waktu luang
여고생, siswi SMA
여관, hotel
여드름, jerawat
여럿, banyak
여름날, hari musim panas
여성, perempuan
여성복, pakaian wanita
영양, nutrisi
영양가, nilai gizi
영양분, zat gizi
영양소, nutrien
영양제, suplemen
여유, sisa waktu
여전히, tetap
여쭈다, bertanya sopan
여행비, biaya perjalanan
여행자, wisatawan
여행지, tempat tujuan wisata
역사적, historis
역시, memang
역할, peran
영화감독, sutradara film
영화제, festival film
연구, penelitian
옆집, rumah sebelah
연구소, lembaga penelitian
연구실, laboratorium penelitian
연장, perpanjangan
연주, pertunjukan musik
연주회, konser
연하, lebih muda
연하다, lembut
연회비, iuran tahunan
열대야, malam yang sangat panas
열람실, ruang baca
열흘, sepuluh hari
염색, pewarnaan
엿, permen tradisional
영수증, struk pembayaran
예금, setoran
예매, reservasi
예방, pencegahan
예보, ramalan
예상, perkiraan
예술, seni
예습, persiapan pelajaran
예식장, gedung pernikahan
예의, sopan santun
예절, etika
예정, rencana
예측, prediksi
연애, percintaan
연애결혼, pernikahan karena cinta
연인, pasangan
옛, kuno
옛말, kata lama
오가다, bolak-balik
오늘날, saat ini
오락, hiburan
오래되다, sudah lama
오랜, lama
오르내리다, naik turun
오른손, tangan kanan
오리엔테이션, orientasi
오염, polusi
오토바이, sepeda motor
오페라, opera
오피스텔, apartel
오해, kesalahpahaman
오히려, justru
온, seluruh
온갖, berbagai macam
온도, suhu
온돌, pemanas tradisional Korea
온돌방, ruangan dengan ondol
온라인, daring
온몸, seluruh tubuh
온천, pemandian air panas
온천욕, mandi di pemandian air panas
온통, sepenuhnya
올리다, menaikkan / memposting
올림픽, Olimpiade
올바르다, benar
옳다, tepat
옷차림, pakaian
와인, anggur
완성, penyelesaian
완전히, sepenuhnya
왕, raja
왕복, pulang-pergi
왕비, ratu
왠지, entah mengapa
외가, pihak ibu
외과, bedah
외교관, diplomat
외동딸, anak tunggal perempuan
외동아들, anak tunggal laki-laki
외래어, kata serapan
외로움, kesepian
외모, penampilan
외식, makan di luar
외아들, anak tunggal
외우다, menghafal
외치다, berteriak
요가, yoga
요구, permintaan
요구르트, yogurt
요리법, resep
요리사, koki
요새, akhir-akhir ini
요약, ringkasan
요청, permintaan
욕, kata kasar
욕실, kamar mandi
욕심, keserakahan
욕심쟁이, orang serakah
용, naga
용기, keberanian
용돈, uang saku
용서, pengampunan
우등상, penghargaan kehormatan
우리말, bahasa Korea
우물, sumur
우수성, keunggulan
우승, kemenangan
우아하다, anggun
우연, kebetulan
우연히, secara kebetulan
우울증, depresi
우울하다, sedih
우정, persahabatan
우주, ruang angkasa
우주여행, perjalanan luar angkasa
우편, pos
우편물, surat pos
우편배달, pengiriman pos
운, keberuntungan
운명, takdir
운전기사, sopir
운전면허, SIM
운전자, pengemudi
울보, pemalu / penangis
울음, tangisan
웃어른, orang tua / senior
웃음, tawa
워낙, sangat
원고, naskah
원래, awalnya
원룸, studio apartemen
원서, formulir pendaftaran
원숭이, monyet
원인, penyebab
월말, akhir bulan
위대하다, hebat
위로, penghiburan
위반, pelanggaran
윗사람, atasan / senior
유난히, luar biasa
유니폼, seragam
유람선, kapal pesiar
유료, berbayar
유머, humor
유명, terkenal
유적지, situs bersejarah
유창하다, lancar
유치원, taman kanak-kanak
유쾌하다, menyenangkan / ceria
이국적, eksotis
이다, adalah
이기다, menang
이기적, egois
이끌다, memimpin / menarik
이내, segera
이따, nanti
이때, saat ini
이러하다, seperti ini
이런저런, berbagai macam
이루다, mencapai / menyelesaikan
이루어지다, terwujud / tersusun
이름나다, menjadi terkenal
인상적, mengesankan
인생, hidup
인쇄, mencetak
인쇄물, bahan cetakan
인스턴트, instan
인원, jumlah orang
인정받다, diakui
인출기, ATM
인턴사원, magang
인하다, disebabkan oleh
일기장, buku harian
일단, pertama-tama
일등, juara pertama
일반, umum
일반인, orang biasa
일반적, bersifat umum
일부, sebagian
일부러, dengan sengaja
일상, kehidupan sehari-hari
일상적, sehari-hari
일생, seumur hidup
일시, sementara
일시불, pembayaran sekaligus
일으키다, membangkitkan / menegakkan
일자리, tempat kerja
일정, jadwal
일정하다, tetap / seragam
일출, matahari terbit
일회용품, barang sekali pakai
읽히다, dibaca
임산부, wanita hamil
임시, sementara
임신, kehamilan
입금, setoran
입맛, selera makan
입술, bibir
입시, ujian masuk
입장, masuk / posisi
입장권, tiket masuk
입장료, biaya masuk
입학시험, ujian masuk
입히다, memakaikan
잇다, menyambung / meneruskan
잎, daun
자격, kualifikasi
자격증, sertifikat / lisensi
자극적, provokatif
자꾸, terus-menerus
자녀, anak
자동, otomatis
자라다, tumbuh
자랑, membanggakan
자료실, ruang referensi
자막, teks terjemahan / subtitle
자매, saudara perempuan
자살, bunuh diri
자세하다, rinci
자세히, secara rinci
자식, anak
자신감, percaya diri
자연적, bersifat alami
자외선, sinar ultraviolet
자원, sumber daya
자음, konsonan
자존심, harga diri
자취, hidup sendiri
자판기, mesin penjual otomatis
작가, penulis
작곡, mencipta musik
작문, menulis karangan
작사, menulis lirik
작아지다, menjadi kecil
작업, pekerjaan / operasi
작품, karya
잔돈, uang kecil
잔디, rumput
잔디밭, lapangan rumput
잔뜩, penuh
잔소리, omelan
잔액, saldo
잠그다, mengunci
잠기다, terkunci / terendam
잠들다, tertidur
잠옷, piyama
잠자리, capung
잡수다, makan (kehormatan)
잡아먹다, memangsa / memakan
잡채, Japchae
잡히다, tertangkap
장가, menikah (untuk laki-laki)
장가가다, menikah (untuk laki-laki)
장기적, bersifat jangka panjang
장난, nakal / bercanda
장난감, mainan
장난꾸러기, anak nakal
장남, anak sulung laki-laki
장녀, anak sulung perempuan
장단점, kelebihan dan kekurangan
장래, masa depan
장례식, pemakaman
장례식장, rumah duka
장바구니, keranjang belanja
장사, bisnis
장애, disabilitas
장애인, penyandang disabilitas
장학, beasiswa
장학금, uang beasiswa
재발급, penerbitan ulang
재산, kekayaan / harta
재작년, dua tahun lalu
재주, bakat / keterampilan
재즈, jazz
재테크, teknik investasi
재학, status mahasiswa aktif
재해, bencana
재혼, menikah lagi
재활용, daur ulang
재활용품, barang daur ulang
쟤, orang itu
전체, keseluruhan
전체적, bersifat keseluruhan
전통, tradisi
전통문화, budaya tradisional
전통적, bersifat tradisional
전화벨, bel telepon
절대로, sama sekali
절반, setengah
절약, hemat
젊은이, pemuda
젊음, masa muda
점잖다, sopan / berbudi
점점, perlahan-lahan
점차, secara bertahap
접다, melipat / berhenti
접수, penerimaan
접하다, bertemu / berhubungan
정, kasih sayang
정기적, secara teratur
정답, jawaban benar
정말로, sungguh
정상, normal
정상적, bersifat normal
정성, ketulusan / pengabdian
정성껏, dengan sepenuh hati
정신, pikiran / kesadaran
정신없다, bingung / tidak fokus
정신없이, dengan sibuk / tergesa-gesa
정신적, bersifat mental
정의, keadilan
정장, pakaian resmi
정전, mati listrik
정지, berhenti
정직하다, jujur
정차, berhenti (kendaraan)
정체, identitas
정치, politik
정치가, politisi
정치인, politikus
정치학, ilmu politik
정확하다, akurat
정확히, dengan akurat
젖다, basah / terkena air
제도, sistem
제때, tepat waktu
제발, tolong
제비, burung layang-layang
제안, saran
제자리, tempat semula
제작, produksi
제품, produk
제한, batasan
조건, kondisi
조개, kerang
조교, asisten
조깅, jogging
조르다, mendesak / memelas
조리, memasak
조리법, resep
조상, nenek moyang
조심, hati-hati
조절, penyesuaian
존경, rasa hormat
주거, tempat tinggal
주고받다, saling bertukar
주관, opini / pendapat
주방, dapur
주식회사, perusahaan
주어지다, diberikan
주유소, pom bensin
주의, hati-hati
주인공, tokoh utama
주장, pernyataan / kapten
주제, tema / topik
주택, rumah
주택가, daerah perumahan
죽음, kematian
죽이다, membunuh
준비물, barang bawaan
줄거리, alur cerita
줄무늬, motif garis-garis
줄어들다, berkurang
줄이다, mengecilkan / mengurangi
줍다, mengambil
중간, tengah
중개소, agen
중고, bekas / second-hand
중고차, mobil bekas
중급, menengah
중단, penghentian
중부, bagian tengah
중소기업, usaha kecil dan menengah
중심지, pusat / ibukota
중앙, bagian tengah
진하다, pekat / gelap
진학, masuk sekolah lebih tinggi
진통제, obat penghilang rasa sakit
진짜, benar-benar
진찰, pemeriksaan medis
진심, ketulusan
진실, kebenaran
진행, kemajuan
진행자, pembawa acara
질병, penyakit
질서, tertib
질투, cemburu
질환, penyakit
짐승, binatang buas
지겹다, bosan / jenuh
지구, bumi
지나가다, lewat / berlalu
지나치다, berlebihan / ekstrem
지루하다, membosankan
지붕, atap
지식, pengetahuan
지역, wilayah
지옥, neraka
지우다, menghapus
지원, dukungan
지원자, pelamar / pendukung
지위, status
지저분하다, berantakan / kotor
지점, cabang / titik
지진, gempa bumi
지출, pengeluaran
지치다, lelah / kehabisan tenaga
지켜보다, mengawasi / memperhatikan
지퍼, resleting
지휘자, konduktor
직선, garis lurus
직장인, pekerja
직접적, bersifat langsung
직진, lurus terus
직후, segera setelah
진하다, pekat / kuat
즐거움, kesenangan
즉, yaitu / artinya
증가, peningkatan
증명서, sertifikat
증상, gejala
질병, penyakit
질서, tertib
질투, cemburu
질환, penyakit
짐승, binatang buas
집값, harga rumah
집다, mengambil / menjepit
집들이, pesta rumah baru
집세, sewa rumah
집안, keluarga
집안일, pekerjaan rumah
집주인, pemilik rumah
집중, konsentrasi
집중력, daya konsentrasi
쭉, terus-menerus
짜증, jengkel / kesal
짝, pasangan
짝사랑, cinta satu sisi
짝수, angka genap
쫓기다, dikejar
쫓다, mengejar
쫓아내다, mengusir
쫓아다니다, mengejar-kejar
찌다, gemuk / mengukus
찜질, kompres / sauna
찜통더위, panas lembap ekstrem
찢다, merobek
찢어지다, robek / terkoyak
차라리, lebih baik / sebaiknya
차례, giliran / urutan
차분하다, tenang / kalem
차이, perbedaan
차이점, perbedaan
착각, salah paham
찬물, air dingin
찬성, setuju
참가, partisipasi
참고, referensi
참기름, minyak wijen
참다, menahan / sabar
참석, kehadiran
참여, partisipasi
참치, tuna
찻집, kafe / kedai teh
창, jendela
초기, awal / permulaan
초대장, undangan
초보자, pemula
초청장, undangan
찾아내다, menemukan
찾아다니다, mencari ke sana kemari
찾아보다, melihat / mencari
총, senjata
총무과, bagian urusan umum
촬영장, lokasi syuting / studio
촬영지, lokasi syuting
채널, saluran
채식, makan vegetarian
채식주의자, orang vegetarian
채용, perekrutan
채우다, mengisi / memuaskan
채팅, chat online
최선, yang terbaik
최신, terbaru
최저, terendah
처녀, perawan
최종, terakhir / final
처리, pengolahan
처방, resep
처방전, resep obat
추가, penambahan
천국, surga
천사, malaikat
천장, langit-langit
천재, jenius / bencana alam
추천, rekomendasi
추천서, surat rekomendasi
추첨, undian
추측, dugaan / perkiraan
첫날, hari pertama
첫눈, salju pertama
첫사랑, cinta pertama
출국, keberangkatan keluar negeri
출근길, perjalanan ke tempat kerja
출력, cetak / output
첫인상, kesan pertama
출산, melahirkan
출산율, tingkat kelahiran
출생, kelahiran
출석, kehadiran
출신, asal
출입, akses
출입국, imigrasi
출퇴근, pergi-pulang kerja
출판사, penerbit
충격, guncangan
충고, nasihat
충돌, tabrakan
충분하다, cukup
충분히, cukup
취업, mendapat pekerjaan
취업난, krisis pekerjaan
취침, tidur
취하다, mabuk
측, sisi
치료제, obat
치수, ukuran
치우다, merapikan
치즈, keju
친어머니, ibu kandung
친환경, ramah lingkungan
침, air liur
침실, kamar tidur
칭찬, pujian
카네이션, anyelir
카세트, kaset
카센터, bengkel mobil
카페인, kafein
카펫, karpet
칸, kolom
칼국수, mie gandum Korea
캄캄하다, gelap gulita
캠퍼스, kampus
캠프, perkemahan
커다랗다, sangat besar
커지다, membesar
커튼, tirai
커플, pasangan
컴퓨터실, ruang komputer
켜지다, menyala
코끼리, gajah
코너, sudut
코미디, komedi
코미디언, pelawak
콘서트, konser
콘센트, stopkontak
콩나물, kecambah
퀴즈, kuis
큰길, jalan utama
큰돈, uang banyak
큰소리, suara keras
큰일, urusan penting
클래식, musik klasik
클릭, klik
키우다, membesarkan
타입, tipe
탈, topeng
탈의실, ruang ganti
탈춤, tari topeng
탑승구, gerbang keberangkatan
탕, sup
태도, sikap
태양, matahari
태양열, panas matahari
태우다, membakar
택배, pengiriman
택배비, ongkos kirim
터지다, meledak
털다, mengebaskan
테이프, pita
텐트, tenda
토끼, kelinci
토론, diskusi
토하다, muntah
통계, statistik
통신, komunikasi
통역, penerjemahan lisan
통일, penyatuan
통증, nyeri
통지서, pemberitahuan
통화, panggilan telepon
퇴근길, perjalanan pulang kerja
퇴원, keluar dari rumah sakit
퇴직, pensiun
투표, pemungutan suara
튀기다, menggoreng
트럭, truk
특기, keahlian
특별, khusus
특별하다, istimewa
특산물, produk khas
튼튼하다, kuat
틀림없다, pasti benar
틀림없이, pasti
틈, celah
티켓, tiket
팀장, ketua tim
파다, menggali
파마, rambut keriting
파일, berkas
파전, pancake Korea
판매, penjualan
판매자, penjual
팥빙수, es serut kacang merah
패션쇼, peragaan busana
패스트푸드, makanan cepat saji
팩스, faks
팬, penggemar
퍼지다, menyebar
편리, kenyamanan
편식, makan tidak seimbang
편안하다, nyaman
편의점, toko serba ada
편히, dengan nyaman
펼치다, membuka
평가, penilaian
평균, rata-rata
평등, kesetaraan
평범하다, biasa
평생, seumur hidup
평소, keseharian
평화, kedamaian
포근하다, hangat
포기, menyerah
포도주, anggur
포인트, poin
포장지, kertas pembungkus
폭발, ledakan
폭설, salju lebat
폭식, makan berlebihan
폭우, hujan deras
폭포, air terjun
표시, tanda
표정, ekspresi wajah
표지판, papan petunjuk
푸르다, biru
풀리다, terurai
풀이, penjelasan
품질, kualitas
풍경, pemandangan
풍부하다, melimpah
풍선, balon
프라이팬, wajan
프로그래머, pemrogram
프린터, printer
플라스틱, plastik
플러그, colokan listrik
피로, kelelahan
피부, kulit
피부과, dokter kulit
피부병, penyakit kulit
피서, liburan musim panas
피아니스트, pianis
피하다, menghindar
피해, kerugian
피해자, korban
필수, keharusan
필수품, kebutuhan pokok
필요성, kebutuhan
핑계, alasan
하도, terlalu/ berlebihan
하루빨리, secepatnya
하루하루, hari demi hari
하룻밤, satu malam
하마터면, hampir saja
하품, menguap
학과, jurusan
학력, latar belakang pendidikan
학문, bidang akademik
학비, biaya kuliah
학습, pembelajaran
학자, sarjana
학점, nilai, kredit
한가하다, senggang
한국학, studi Korea
한글날, hari Hangul
한꺼번에, sekaligus
한낮, siang hari
한눈, sekilas
한동안, untuk sementara
한두, satu dua
한마디, sepatah kata
한순간, sesaat
한숨, desahan napas
한약, obat tradisional Korea
한옥, rumah tradisional Korea
한우, daging sapi Korea
한의사, tabib Korea
한정식, set menu Korea
한지, kertas tradisional Korea
한참, cukup lama
한창, sedang puncaknya
한편, di sisi lain
할부, cicilan bulanan
할인점, toko diskon
함부로, sembarangan
합격자, orang yang lulus
합치다, menyatukan
합하다, menambahkan
항공, penerbangan
항공권, tiket pesawat
항공기, pesawat terbang
항공료, ongkos pesawat
항공사, maskapai
항공편, jadwal penerbangan
해결, penyelesaian
해결책, solusi
해고, pemecatan
해내다, berhasil
해돋이, matahari terbit
해롭다, berbahaya
해마다, setiap tahun
해물, makanan laut
해보다, mencoba
해산물, hasil laut
해소, penyelesaian
해소법, cara mengatasi
해수욕, berenang di laut
해수욕장, pantai
해열제, obat penurun panas
핸드백, tas tangan
햇곡식, hasil panen baru
햇볕, sinar matahari
행동, perilaku
행사장, tempat acara
행운, keberuntungan
향, aroma
향기, wangi
향수, parfum, nostalgia
향하다, mengarah
허락, izin
허리띠, ikat pinggang
험하다, kasar
헤매다, tersesat
헤어스타일, gaya rambut
헤어지다, berpisah
헤엄치다, berenang
헬멧, helm
헬스클럽, pusat kebugaran
현관, pintu masuk
현관문, pintu depan
현대, masa kini
현대식, bergaya modern
현대인, orang modern
현대적, bersifat modern
현모양처, ibu yang bijak
현실, kenyataan
현실적, realistis
현장, lokasi
형용사, kata sifat
형태, bentuk
형편, keadaan
혜택, manfaat
호감, kesan baik
호기심, rasa ingin tahu
호수, danau
호칭, sebutan
혹시, mungkin
혹은, atau
혼나다, dimarahi
혼내다, memarahi
혼잡, kekacauan
홀수, bilangan ganjil
홍보, promosi
홍보물, materi promosi
홍수, banjir
화려하다, megah
화면, layar
화물, kargo
화분, pot bunga
화산, gunung berapi
화상, luka bakar
화장지, tisu toilet
화재, kebakaran
화창하다, cerah
화해, rekonsiliasi
확실하다, pasti
환경, lingkungan
환기, ventilasi
환불, pengembalian uang
환상적, fantastis
환송회, pesta perpisahan
환영회, pesta penyambutan
환율, nilai tukar
환전, penukaran uang
환절기, pergantian musim
활동, aktivitas
활동적, aktif
활발하다, giat
활용, pemanfaatan
활짝, sepenuhnya mekar
황당하다, tidak masuk akal
황사, debu kuning
회, kali
회갑, ulang tahun ke-60
회복, pemulihan
회비, iuran
회식, makan bersama
회원, anggota
회의장, ruang rapat
회장, ketua
횟수, jumlah kali
효과, efek
효과적, efektif
효녀, anak perempuan berbakti
효율적, efisien
후문, pintu belakang
후반, paruh akhir
후반전, babak kedua
후보, calon
후식, hidangan penutup
후회, penyesalan
훈련, pelatihan
훌륭하다, hebat
훔치다, mencuri
훨씬, jauh lebih
휘발유, bensin
휴가철, musim liburan
휴게실, ruang istirahat
휴대, portabel
휴대폰, ponsel
휴식, istirahat
휴양지, tempat peristirahatan, resort
휴학, cuti kuliah
흐르다, mengalir
흔들다, menggoyang
흔들리다, bergoyang, bergetar
흔하다, umum, sering terjadi
흔히, sering, umumnya
흘리다, menumpahkan, meneteskan
흙, tanah
흡연, merokok
흥미, minat, ketertarikan
흥분, kegembiraan, emosi
희다, berwarna putih
희망, harapan
희망자, pemohon, orang yang berharap
희생자, korban
힘껏, sekuat tenaga
